2025-06-08 15:57:54,324 - INFO - Nombre de coordonn�es uniques: 335
2025-06-08 15:58:33,428 - INFO - Coord (np.float64(-17.81627904107211), np.float64(30.95801640034109)) -> soil_type: None
2025-06-08 15:58:34,802 - ERROR - HTTP 422 for coord -17.816777461188074,31.006301152658665
2025-06-08 15:58:34,806 - INFO - Coord (np.float64(-17.816777461188074), np.float64(31.006301152658665)) -> soil_type: None
2025-06-08 15:58:36,164 - ERROR - HTTP 422 for coord -17.81726420939158,31.05458756619755
2025-06-08 15:58:36,167 - INFO - Coord (np.float64(-17.81726420939158), np.float64(31.05458756619755)) -> soil_type: None
2025-06-08 15:58:37,539 - ERROR - HTTP 422 for coord -17.863028209169197,31.005786065629607
2025-06-08 15:58:37,541 - INFO - Coord (np.float64(-17.863028209169197), np.float64(31.005786065629607)) -> soil_type: None
2025-06-08 15:58:38,937 - ERROR - HTTP 422 for coord -17.8635162889088,31.054084814435587
2025-06-08 15:58:38,938 - INFO - Coord (np.float64(-17.8635162889088), np.float64(31.054084814435587)) -> soil_type: None
2025-06-08 15:58:40,317 - ERROR - HTTP 422 for coord -17.86399196078892,31.10238515368558
2025-06-08 15:58:40,321 - INFO - Coord (np.float64(-17.86399196078892), np.float64(31.10238515368558)) -> soil_type: None
2025-06-08 15:58:41,677 - ERROR - HTTP 422 for coord -17.86445628884821,31.150686815537654
2025-06-08 15:58:41,681 - INFO - Coord (np.float64(-17.86445628884821), np.float64(31.150686815537654)) -> soil_type: None
2025-06-08 15:58:43,034 - ERROR - HTTP 422 for coord -17.908263540605333,30.90865139972801
2025-06-08 15:58:43,037 - INFO - Coord (np.float64(-17.908263540605333), np.float64(30.90865139972801)) -> soil_type: None
2025-06-08 15:58:44,406 - ERROR - HTTP 422 for coord -17.908776708945464,30.956959565083384
2025-06-08 15:58:44,407 - INFO - Coord (np.float64(-17.908776708945464), np.float64(30.956959565083384)) -> soil_type: None
2025-06-08 15:58:45,777 - ERROR - HTTP 422 for coord -17.909278288663895,31.005269313818523
2025-06-08 15:58:45,779 - INFO - Coord (np.float64(-17.909278288663895), np.float64(31.005269313818523)) -> soil_type: None
2025-06-08 15:58:47,113 - ERROR - HTTP 422 for coord -17.910244788602828,31.10189331494398
2025-06-08 15:58:47,115 - INFO - Coord (np.float64(-17.910244788602828), np.float64(31.10189331494398)) -> soil_type: None
2025-06-08 15:58:48,464 - ERROR - HTTP 422 for coord -17.95502528844008,30.956428813223365
2025-06-08 15:58:48,467 - INFO - Coord (np.float64(-17.95502528844008), np.float64(30.956428813223365)) -> soil_type: None
2025-06-08 15:58:49,825 - ERROR - HTTP 422 for coord -17.955527960460827,31.004751152613064
2025-06-08 15:58:49,827 - INFO - Coord (np.float64(-17.955527960460827), np.float64(31.004751152613064)) -> soil_type: None
